,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,7.247058823529418,0.06517031560686908,111.20183715614175,0.0,7.119019264571819,7.375098382487017
edu_ED3_4,0.4052941176470649,0.060335988097360266,6.717286489003348,5.021247667484949e-11,0.286752520398107,0.5238357148960229
edu_ED5-8,0.7652941176470265,0.060335988097360176,12.683874778218966,3.5058269053576306e-32,0.6467525203980687,0.8838357148959842
age_Y25-34,-0.4313725490196017,0.07789342569268172,-5.537984049148454,4.937451050262638e-08,-0.5844090930122819,-0.27833600502692146
age_Y35-49,-0.4882352941176424,0.0778934256926817,-6.267991037445325,7.872272618906227e-10,-0.6412718381103226,-0.33519875012496214
age_Y50-64,-0.5754901960784342,0.07789342569268175,-7.388174174659554,6.238113210687076e-13,-0.7285267400711145,-0.4224536520857539
age_Y_GE65,-0.531372549019612,0.07789342569268173,-6.82178944236029,2.590302646242603e-11,-0.6844090930122922,-0.37833600502693165
